Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Studio Badu,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Convene Studio,34.142217,-118.39157,,null,null,,34.142217,-118.39157
NineDreams Media,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Pipeline Design,0.298455,32.634571,,null,null,,0.298455,32.634571
Cinch Creative,-32.922339,-60.802858,,null,null,,-32.922339,-60.802858
Cowgirl Graphics,40.733824,-74.006462,,null,null,,40.733824,-74.006462
Wake Up Mr. Singh,52.569429,-2.133652,,-33.84907,151.13834,,-33.84907,151.13834
Webmistress,null,null,,null,null,,null,null
Gekko Creations,60.169461,24.933015,,null,null,,60.169461,24.933015
Paper Monkey,53.59245,-2.21941,,null,null,,53.59245,-2.21941
Creative Gem Design,-32.922339,-60.802858,,-27.47126,153.01831,,-27.47126,153.01831
PeptoLab,null,null,,null,null,,null,null
EIGHTY8,11.578019,104.919528,,null,null,,11.578019,104.919528
Newcastle Signforce Pty Ltd,-27.729174,29.934668,,-32.829407,151.7133,,-32.829407,151.7133
Pitch deck presentation,null,null,,null,null,,null,null
Self employed (freelancing),null,null,,-37.803425,145.01105,,-37.803425,145.01105
Fuel Creative,-32.922339,-60.802858,,-31.939821,115.8162,,-31.939821,115.8162
Hail Design,27.537706,41.774295,,-38.267654,144.52428,,-38.267654,144.52428
Strategically Original Design,45.447454,-98.093554,,-37.803425,145.01105,,-37.803425,145.01105
Sanne Peters Virtual Graphic Designer,52.65806,11.94162,,null,null,,52.65806,11.94162
Wowwee Design,25.814815,-80.193905,,null,null,,25.814815,-80.193905
Creative Integration,51.449478,7.369789,,-27.47126,153.01831,,-27.47126,153.01831
Thinking Hats,14.419361,121.034877,,null,null,,14.419361,121.034877
Tone Studio,44.565435,-80.94491,,null,null,,44.565435,-80.94491
Now Design,52.516833,13.453132,,null,null,,52.516833,13.453132
M2Media,null,null,,null,null,,null,null
Function Creative,24.368161,88.580873,,-31.939821,115.8162,,-31.939821,115.8162
Proactive Graphics,45.333167,-122.586279,,-33.84907,151.13834,,-33.84907,151.13834
MASKCLIP,null,null,,-25.574999,134.3547,,-25.574999,134.3547
Red Ant Media,39.148534,-118.4043,,-33.84907,151.13834,,-33.84907,151.13834
ShanDesign,null,null,,-27.47126,153.01831,,-27.47126,153.01831
horgancreative,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Lumina Design House,null,null,,null,null,,null,null
Mitosis,52.483304,13.441315,,-33.84907,151.13834,,-33.84907,151.13834
Athlete Design Studio,49.194698,16.642609,,-37.803425,145.01105,,-37.803425,145.01105
Meso Creative  Australia,-34.843968,138.504257,,-33.84907,151.13834,,-33.84907,151.13834
Studio Spinach,null,null,,null,null,,null,null
Lost & Found,52.480042,-1.900659,,-31.939821,115.8162,,-31.939821,115.8162
OTHER.SIDE Creative,55.836725,-4.26995,,-37.803425,145.01105,,-37.803425,145.01105
Aztec Signs & Murals,10.324389,123.912007,,null,null,,10.324389,123.912007
wrkwrks,null,null,,null,null,,null,null
KO Studio,null,null,,null,null,,null,null
Winter Sun Creative,null,null,,null,null,,null,null
20DollarBanners,null,null,,-34.897945,138.59166,,-34.897945,138.59166
ckaos,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Graphic Design Australia,-36.779556,144.300032,,null,null,,-36.779556,144.300032
Chaptr,50.912687,-1.40522,,null,null,,50.912687,-1.40522
Zara Mathwin Design,39.89778,37.75833,,-31.939821,115.8162,,-31.939821,115.8162
Made by Campfire,50.12183,8.701413,,null,null,,50.12183,8.701413
Sundara Design,10.939801,79.311125,,null,null,,10.939801,79.311125
Paper Planet,40.140149,-75.072539,,null,null,,40.140149,-75.072539
PixelSavvy,null,null,,null,null,,null,null
