Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
FSS,"15 jalan besar singapore 208790 Jln Besar, Singapore 208790 Jln Besar, Singapore 208790",1.3047912,103.8514908,ChIJM1PEOrkZ2jERMp0wuJRS9FA,,,,null,null,null,,"15 jalan besar singapore 208790 Jln Besar, Singapore 208790 Jln Besar, Singapore 208790",1.3047912,103.8514908
The Tax Institute,"B-13-2, Megan Avenue II, No. 12, Jalan Yap Kwan Seng, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1628878,101.7126118,ChIJ617njNk3zDERWdne08ROo_8,,,,null,null,null,,"B-13-2, Megan Avenue II, No. 12, Jalan Yap Kwan Seng, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1628878,101.7126118
Checkout.com,"Wenlock Works, Shepherdess Walk, London N1 7LH, United Kingdom",51.529807,-0.0924204,ChIJtZmubtMadkgR0wXI0Sjn5Ec,,,,null,null,null,,"Wenlock Works, Shepherdess Walk, London N1 7LH, United Kingdom",51.529807,-0.0924204
Gordon Brothers,"150 Cecil St, Singapore 069543",1.2801853,103.8482963,ChIJx74ahQ0Z2jERYVZD7I0pJYs,,,,null,null,null,,"150 Cecil St, Singapore 069543",1.2801853,103.8482963
KoreConX All-In-One Platform,"World Trade Center, Suite 8500, One, New York, NY 10007, United States",40.7118168,-74.0131082,ChIJszw_tbVbwokRwP0grmiUj18,,,,null,null,null,,"World Trade Center, Suite 8500, One, New York, NY 10007, United States",40.7118168,-74.0131082
FIDINAM Group Worldwide,"190 Middle Rd, #12-07 Fortune Centre, Singapore 188979",1.3005243,103.8521508,ChIJT_EhCG0Z2jERe2-IiCxOnpk,,,,null,null,null,,"190 Middle Rd, #12-07 Fortune Centre, Singapore 188979",1.3005243,103.8521508
Eureka - Real Assets,"9/255 George St, Sydney NSW 2000, Australia",-33.8637314,151.2069282,ChIJozGvcEGuEmsRz4XT5tpkqkI,,,,"Level 9, NAB House, Sydney, NSW, 2000, AU",-25.728104,134.49019,,"Level 9, NAB House, Sydney, NSW, 2000, AU",-25.728104,134.49019
McQueen Group,"21/357 Collins St, Melbourne VIC 3000, Australia",-37.8169266,144.9626794,ChIJqx__obRC1moRbuEpGSaeEzA,,,,null,null,null,,"21/357 Collins St, Melbourne VIC 3000, Australia",-37.8169266,144.9626794
Boutique Advisers,"3/1 Outridge Cres, Subiaco WA 6008, Australia",-31.945545,115.822044,ChIJ4QGKhBOlMioRtv_ALJp957o,,,,null,null,null,,"3/1 Outridge Cres, Subiaco WA 6008, Australia",-31.945545,115.822044
Kearney Group,"8/651 Victoria St, Abbotsford VIC 3067, Australia",-37.811311,145.010864,ChIJaeUtYFNC1moRKXeTk3hb_U8,,,,null,null,null,,"8/651 Victoria St, Abbotsford VIC 3067, Australia",-37.811311,145.010864
Australian Council of Superannuation Investors,"150 Lonsdale St, Melbourne VIC 3000, Australia",-37.810293,144.967728,ChIJIdtGXs9C1moRirip06IQfQI,,,,null,null,null,,"150 Lonsdale St, Melbourne VIC 3000, Australia",-37.810293,144.967728
TAMIM Asset Management,"suite 404 level 4/55 Grafton St, Sydney NSW 2022, Australia",-33.8905832,151.2456735,ChIJ08dfLkCuEmsRNp7GPVDHxYE,,,,null,null,null,,"suite 404 level 4/55 Grafton St, Sydney NSW 2022, Australia",-33.8905832,151.2456735
ActOn Wealth Pty Ltd,"12/37-39 Albert Rd, Melbourne VIC 3004, Australia",-37.8351158,144.9719981,ChIJdcxedftp1moReXc91EvGWJc,,,,null,null,null,,"12/37-39 Albert Rd, Melbourne VIC 3004, Australia",-37.8351158,144.9719981
Monoova,"level 7/80 Pacific Hwy, North Sydney NSW 2060, Australia",-33.8406525,151.2081622,ChIJpx6ZHPOuEmsRewnVX2ti3HM,,,,null,null,null,,"level 7/80 Pacific Hwy, North Sydney NSW 2060, Australia",-33.8406525,151.2081622
