Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Upwell Health Collective,"1-5/436 Burke Rd, Camberwell VIC 3124, Australia",-37.8438796,145.0546349,ChIJow6oq4NB1moRlolryTP-7gM,,,,null,null,null,,"1-5/436 Burke Rd, Camberwell VIC 3124, Australia",-37.8438796,145.0546349
FitSense,"50 Miller St, North Sydney NSW 2060, Australia",-33.8398843,151.2063559,ChIJl04GrYyuEmsRwEfAZ0syGk0,,,,null,null,null,,"50 Miller St, North Sydney NSW 2060, Australia",-33.8398843,151.2063559
Gaia Retreat & Spa,"933 Fernleigh Rd, Brooklet NSW 2479, Australia",-28.7323691,153.5058006,ChIJB25r62GGkGsR8HC6zbC2xUA,,,,null,null,null,,"933 Fernleigh Rd, Brooklet NSW 2479, Australia",-28.7323691,153.5058006
I Quit Sugar,null,null,null,null,,,,"50 Reservoir Street, SURRY HILLS, New South Wales, 2010, AU",-33.84907,151.13834,,"50 Reservoir Street, SURRY HILLS, New South Wales, 2010, AU",-33.84907,151.13834
Kudos Services,"1 Pasir Panjang Rd, Singapore 118478",1.2717449,103.802537,ChIJxW-ZwMEb2jER3PDm8Rj9Bys,,,,null,null,null,,"1 Pasir Panjang Rd, Singapore 118478",1.2717449,103.802537
Wellbeing Science Institute,"F10/20 Martin Pl, Sydney NSW 2000, Australia",-33.8673285,151.2087416,ChIJudse79evEmsRsdjSzrjprvE,,,,null,null,null,,"F10/20 Martin Pl, Sydney NSW 2000, Australia",-33.8673285,151.2087416
MeasureUp,"1/115 Pitt St, Sydney NSW 2000, Australia",-33.866448,151.208298,ChIJEUQAT0CuEmsRpm2DYZYgcwc,,,,null,null,null,,"1/115 Pitt St, Sydney NSW 2000, Australia",-33.866448,151.208298
H&H Group,"5G, Jalan Bestari 6/5, Taman Nusa Bestari, 81300 Skudai, Johor, Malaysia",1.4938058,103.6575888,ChIJ0ff0LGBz2jER4wQX_sehP0A,,,,null,null,null,,"5G, Jalan Bestari 6/5, Taman Nusa Bestari, 81300 Skudai, Johor, Malaysia",1.4938058,103.6575888
Fitness First Australia,"53 Ang Mo Kio Ave 3, #B1-36, Singapore 569933",1.3697323,103.8487065,ChIJUYZa0eYW2jERdhXn9X6Z5eo,,,,null,null,null,,"53 Ang Mo Kio Ave 3, #B1-36, Singapore 569933",1.3697323,103.8487065
Blackmores Group,"160 Robinson Rd, #08-02 SBF Centre, Singapore 068914",1.278027,103.8479839,ChIJvbzS7QsZ2jEREuplpr-Gfe8,,,,null,null,null,,"160 Robinson Rd, #08-02 SBF Centre, Singapore 068914",1.278027,103.8479839
Swisse Wellness,"111 Cambridge St, Collingwood VIC 3066, Australia",-37.8038973,144.9854002,ChIJx1TTmuFC1moRtBLIoo0ft9o,,,,null,null,null,,"111 Cambridge St, Collingwood VIC 3066, Australia",-37.8038973,144.9854002
Physio Network,"No. A 7/16, 45, Jalan IM 2, Bandar Indera Mahkota, 25200 Kuantan, Pahang, Malaysia",3.833578,103.3008429,ChIJTeXvnZC6yDER7vnevXo5MT8,,,,null,null,null,,"No. A 7/16, 45, Jalan IM 2, Bandar Indera Mahkota, 25200 Kuantan, Pahang, Malaysia",3.833578,103.3008429
Smiling Mind,"26 Blackwood St, North Melbourne VIC 3051, Australia",-37.801498,144.9554249,ChIJN-pwlEZd1moRTIymojq5cpY,,,,null,null,null,,"26 Blackwood St, North Melbourne VIC 3051, Australia",-37.801498,144.9554249
Australian Unity,"271 Spring St, Melbourne VIC 3000, Australia",-37.808596,144.9714902,ChIJgXzj_AJo1moRx-JRfIrztv8,,,,null,null,null,,"271 Spring St, Melbourne VIC 3000, Australia",-37.808596,144.9714902
Heart Foundation,"9 Bishan Place #07-01 Junction 8 (Office Tower, Singapore 579837",1.3505255,103.8485901,ChIJb-ErmBYX2jERK9BzgKhL1GM,,,,null,null,null,,"9 Bishan Place #07-01 Junction 8 (Office Tower, Singapore 579837",1.3505255,103.8485901
Athletic Republic,Singapore,1.4467615,103.7838584,ChIJmaOCljsT2jERjgXO2LQwdRY,,,,null,null,null,,Singapore,1.4467615,103.7838584
Vush,"Rruga Abdulla Gjinali, Tirana, Albania",41.3329752,19.8209671,ChIJAduFMBIxUBMRVEOjpo2NRag,,,,null,null,null,,"Rruga Abdulla Gjinali, Tirana, Albania",41.3329752,19.8209671
