Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
WY Advice,47.306433,-122.336834,,null,null,,47.306433,-122.336834
Nano Home Loans,8.504026,76.959778,,null,null,,8.504026,76.959778
Equifax - Australia,-33.440155,-70.645172,,null,null,,-33.440155,-70.645172
AsiaPay,null,null,,null,null,,null,null
Tax & Super Australia,null,null,,null,null,,null,null
Moelis Australia,-23.992438,134.050443,,null,null,,-23.992438,134.050443
Connective Broker Services,28.484265,-81.457465,,null,null,,28.484265,-81.457465
Association of Financial Advisers (AFA),null,null,,null,null,,null,null
EquitiesFirst,null,null,,null,null,,null,null
Style Analytics,null,null,,null,null,,null,null
Statewide Super,-34.846822,138.506594,,null,null,,-34.846822,138.506594
WorldFirst,null,null,,null,null,,null,null
FTSE Russell,null,null,,null,null,,null,null
HUB24 Limited,6.925874,79.866566,,null,null,,6.925874,79.866566
Hostplus,null,null,,null,null,,null,null
Magellan Financial Group,null,null,,null,null,,null,null
FNZ Group,null,null,,null,null,,null,null
Perpetual Limited,null,null,,null,null,,null,null
eNett International — a WEX company,46.140835,21.295913,,null,null,,46.140835,21.295913
Startmate,null,null,,null,null,,null,null
Shaw and Partners Limited,53.037382,-1.200854,,null,null,,53.037382,-1.200854
APositive Workforce Finance,null,null,,null,null,,null,null
D.F. King Ltd,52.945628,-1.147396,,null,null,,52.945628,-1.147396
Generation Life - Outthinking today.,null,null,,null,null,,null,null
Financial Counselling Australia,-33.385841,148.006553,,null,null,,-33.385841,148.006553
MCCA Islamic Finance & Investments,0.311855,32.5761,,null,null,,0.311855,32.5761
The SILC Group,32.770888,-108.276668,,null,null,,32.770888,-108.276668
ZayZoon Australia,-23.992438,134.050443,,null,null,,-23.992438,134.050443
Macrovue,null,null,,null,null,,null,null
Southern Cross Credit Union,null,null,,null,null,,null,null
Leveraged,null,null,,null,null,,null,null
InvestSuite,null,null,,null,null,,null,null
Pepper Money Australia,33.655944,-112.033475,,null,null,,33.655944,-112.033475
Finder,46.949536,7.438844,,null,null,,46.949536,7.438844
Australian Financial Complaints Authority,null,null,,null,null,,null,null
FINSIA (Financial Services Institute of Australasia),null,null,,null,null,,null,null
PJT Camberview,46.600148,5.317325,,null,null,,46.600148,5.317325
Openpay,null,null,,null,null,,null,null
TransferMate Global Payments,40.346999,-111.770803,,null,null,,40.346999,-111.770803
McMillan Shakespeare (MMSG),null,null,,null,null,,null,null
Superpartners,null,null,,null,null,,null,null
Apt Wealth Partners,43.878233,5.395393,,null,null,,43.878233,5.395393
Accru Melbourne,-37.830749,144.958987,,null,null,,-37.830749,144.958987
Infinity Group Australia Pty Ltd,53.11552,23.127045,,null,null,,53.11552,23.127045
Lonsdale Financial Group Ltd,35.991769,-83.958257,,null,null,,35.991769,-83.958257
Clique Paraplanning,51.445528,7.385556,,null,null,,51.445528,7.385556
DG Institute,42.274899,-71.801435,,null,null,,42.274899,-71.801435
Smarter SMSF,13.904125,100.529725,,null,null,,13.904125,100.529725
A Class Business Finance Pty Limited,null,null,,null,null,,null,null
XPLORE WEALTH,6.525158,-73.1834,,null,null,,6.525158,-73.1834
Police & Nurses Limited,5.59915,-0.233334,,null,null,,5.59915,-0.233334
Adyen,6.21667,1.56667,,null,null,,6.21667,1.56667
Novantas,39.527917,2.732322,,null,null,,39.527917,2.732322
eToro,-1.68722,15.98083,,null,null,,-1.68722,15.98083
Deutsche Börse,50.135928,8.569683,,null,null,,50.135928,8.569683
Westpac Group,-33.864496,151.202281,,null,null,,-33.864496,151.202281
Suncorp Group,-37.816395,144.963854,,null,null,,-37.816395,144.963854
ASX,46.580132,-90.867843,,null,null,,46.580132,-90.867843
Lab49,null,null,,null,null,,null,null
Ebury,51.271917,1.092149,,null,null,,51.271917,1.092149
BNP Paribas Securities Services,null,null,,null,null,,null,null
TCC Group,1.288654,103.84743,,null,null,,1.288654,103.84743
Mako Trading,46.221772,20.481849,,null,null,,46.221772,20.481849
Collection House Group,null,null,,null,null,,null,null
Smartsalary,null,null,,null,null,,null,null
Simply Wall St,45.393168,11.39032,,null,null,,45.393168,11.39032
Virgin Money Australia,17.73951,-64.783592,,null,null,,17.73951,-64.783592
Taxback International,-37.810005,144.957407,,null,null,,-37.810005,144.957407
Baycorp,-31.955699,115.858811,,null,null,,-31.955699,115.858811
Guild Group,37.452456,-122.181274,,null,null,,37.452456,-122.181274
BoardRoom Limited,54.895318,-2.939246,,null,null,,54.895318,-2.939246
SMSF Adviser,-34.933096,138.600677,,null,null,,-34.933096,138.600677
CommSec Adviser Services,null,null,,null,null,,null,null
Medfin,null,null,,null,null,,null,null
"Midwinter, a Bravura company",49.908849,-97.117695,,null,null,,49.908849,-97.117695
SelfWealth Ltd,30.152308,9.707202,,null,null,,30.152308,9.707202
Finch Financial Services,33.916772,-117.568752,,null,null,,33.916772,-117.568752
Automic Group,56.26495,8.268053,,null,null,,56.26495,8.268053
Mint Payments Limited,10.570031,-61.416798,,null,null,,10.570031,-61.416798
Bizzloans Australia,null,null,,null,null,,null,null
Quadrin Group,52.88007,-0.20429,,null,null,,52.88007,-0.20429
Carey Group,40.855427,-74.663163,,null,null,,40.855427,-74.663163
Paydock,null,null,,null,null,,null,null
Swyftx,null,null,,null,null,,null,null
Elston,-27.20629,23.59609,,null,null,,-27.20629,23.59609
TraditionDATA,null,null,,null,null,,null,null
Pallas Capital,68.04631,24.061905,,null,null,,68.04631,24.061905
The Reach Agency,44.104253,-79.111996,,null,null,,44.104253,-79.111996
RedZed,null,null,,null,null,,null,null
Next Tech Stock,4.862231,-74.059411,,null,null,,4.862231,-74.059411
Riparian Capital Partners,-27.468219,153.030354,,null,null,,-27.468219,153.030354
FinaMetrica Pty Limited,-32.813072,151.634203,,null,null,,-32.813072,151.634203
Finance Jobs,4.583414,114.199135,,null,null,,4.583414,114.199135
InsuranceLine,null,null,,null,null,,null,null
iPartners,null,null,,null,null,,null,null
Connectus Wealth Advisers,-33.835033,151.256286,,null,null,,-33.835033,151.256286
DPM Financial Services,33.916772,-117.568752,,null,null,,33.916772,-117.568752
Finch,35.86571,-78.0811,,null,null,,35.86571,-78.0811
Finspo,null,null,,null,null,,null,null
AAFX TRADING COMPANY LTD,0.798074,34.48489,,null,null,,0.798074,34.48489
Ship Shape Resources,55.185437,-1.510442,,null,null,,55.185437,-1.510442
Astute Financial Management,-38.197551,146.536264,,null,null,,-38.197551,146.536264
Lumi,-4.917686,141.685744,,null,null,,-4.917686,141.685744
IQumulate Premium Funding,null,null,,null,null,,null,null
AVIATOR Finance & Business Advisory,null,null,,null,null,,null,null
Queensland Country Bank,-19.266107,146.816598,,null,null,,-19.266107,146.816598
Lifestyle Financial Services,33.916772,-117.568752,,null,null,,33.916772,-117.568752
Euroz Limited,51.089156,6.586041,,-31.939821,115.8162,,-31.939821,115.8162
Verve Super,38.33371,26.08714,,null,null,,38.33371,26.08714
Percent,null,null,,null,null,,null,null
The Australian Lending & Investment Centre,13.616684,123.186617,,null,null,,13.616684,123.186617
ING Australia - Broker,-23.9,-61.85,,null,null,,-23.9,-61.85
Bangladesh,24.045958,90.032723,,null,null,,24.045958,90.032723
National Finance Brokers Day,28.66047,77.07733,,null,null,,28.66047,77.07733
Resolve Finance,51.709078,-3.692033,,null,null,,51.709078,-3.692033
Independent Reserve,40.199886,-105.198378,,null,null,,40.199886,-105.198378
