Name,Address_0,Latitude_0,Longitude_0,place_id
Rugged Technologies,"19, #04-161 Kallang Ave, Singapore 339410",1.3109926,103.8652162,ChIJm3KJEK8Z2jERlfNlxD-laYQ
Oplus,"6A Shenton Way, #01-07, Singapore 068815",1.276743,103.848264,ChIJi5p3pRMZ2jERY84Am53cD2I
Hello Hire,"135 Middle Rd, #01-01 Bylands Building, Singapore 188975",1.2992665,103.8525986,ChIJw9snPbsZ2jERmavPMdsh-nQ
Plug n Play Computers Menai,"92 Allison Cres, Menai NSW 2234, Australia",-34.0114285,151.0172892,ChIJQ4KQLZrAEmsR_UnydAbIOEk
Technologically Speaking,"7/224 Carr Pl, Leederville WA 6007, Australia",-31.9371174,115.8425571,ChIJebt3PCWxMioRlGkMpODxa-4
Studebaker,"Lukluk, Mengwi, Badung Regency, Bali, Indonesia",-8.5824531,115.1887926,ChIJFcJsNU050i0RMxxbY4izyqk
PCC Computers,"132 Keira St, Wollongong NSW 2500, Australia",-34.4222633,150.8934453,ChIJtxSmU6YZE2sRdnNiM_eilpQ
Fix My Laptop,"50 Gambas Cres, #08-13 Proxima @ Gambas, Singapore 757022",1.442306,103.8184676,ChIJq6EzRugT2jERgThb-MeBp7Q
PC Plus Solutions,"4/14 Marshall Ln, Kenmore QLD 4069, Australia",-27.508938,152.947936,ChIJw7aM8r5RkWsRhIuTvi39qwA
Tech22,"Unit 11/156 Inala Ave, Inala QLD 4077, Australia",-27.5981839,152.9741331,ChIJRf-bYhtPkWsRaY7KZaumGV4
The Laptop Man Mackay,"134 Wood St, Mackay QLD 4740, Australia",-21.1456532,149.1850666,ChIJWZEoyfPT22sRtc8kEt0jGR8
Microtrade Australia,"29 Williams Rd, Dandenong South VIC 3175, Australia",-38.013397,145.2219289,ChIJo1CfruEU1moRCRpibe9_E3s
LINDY Australia,"2/106 Fison Ave W, Eagle Farm QLD 4009, Australia",-27.4354972,153.086914,ChIJyVQ2QblZkWsRpzl-IY3yVrI
LG I.T Monitors Australia,"2 Wonderland Dr, Eastern Creek NSW 2766, Australia",-33.8049785,150.8501159,ChIJfVhRE6-QEmsR-2l74X4KLe0
Reboot IT,"12/820 Princes Hwy, Springvale VIC 3171, Australia",-37.937024,145.162853,ChIJo1CfruEU1moR84WNlk1NrE0
Enable Computer Hardware,"6 Serangoon North Ave 5, #03-08, Singapore 554910",1.3750909,103.8687651,ChIJp6aDc6wi2jERAKP1ycaq_DI
Distimax,"2/1 Rowe St, Freshwater NSW 2096, Australia",-33.780991,151.278854,ChIJvQ5cmFWqEmsRyOszTHqpPgI
POS Central,"Buliang, Batu Aji, Batam City, Riau Islands 29424, Indonesia",1.0441099,103.9808276,ChIJbRweppWN2TERKk0XnUnut2I
