Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
iWolff Atelier,null,null,null,null,,,,"838 Collins Street, Docklands, Vic, 3008, AU",-37.803425,145.01105,,"838 Collins Street, Docklands, Vic, 3008, AU",-37.803425,145.01105
Auhaus Architecture,null,null,null,null,,,,null,null,null,,null,null,null
CBG Architecture + Interior Design,null,null,null,null,,,,null,null,null,,null,null,null
B.E Architecture,null,null,null,null,,,,null,null,null,,null,null,null
EEKOS Architecture & Urban Places,null,null,null,null,,,,"951 Beaufort Street, Perth, Western Australia, 6052, AU",-31.939821,115.8162,,"951 Beaufort Street, Perth, Western Australia, 6052, AU",-31.939821,115.8162
JDA Lammin Architects - Architectural Design Studio,null,null,null,null,,,,null,null,null,,null,null,null
Kavellaris Urban Design,null,null,null,null,,,,null,null,null,,null,null,null
Collard Maxwell Architects,null,null,null,null,,,,null,null,null,,null,null,null
DETAIL 3,null,null,null,null,,,,null,null,null,,null,null,null
Skewed,null,null,null,null,,,,null,null,null,,null,null,null
Pedavoli Architects,null,null,null,null,,,,null,null,null,,null,null,null
Egress Group Pty Ltd,null,null,null,null,,,,"44 Lakeview Drive, Scoresby, Victoria, 3179, AU",-37.803425,145.01105,,"44 Lakeview Drive, Scoresby, Victoria, 3179, AU",-37.803425,145.01105
Graphcad,null,null,null,null,,,,null,null,null,,null,null,null
Habitat Chartered Architects & Engineers (Sri Lanka),null,null,null,null,,,,null,null,null,,null,null,null
NTC Architects,null,null,null,null,,,,"50 Queen Street, Melbourne, VIC, 3000, AU",-37.803425,145.01105,,"50 Queen Street, Melbourne, VIC, 3000, AU",-37.803425,145.01105
WOTBOX - bespoke container solutions,null,null,null,null,,,,null,null,null,,null,null,null
SMAR Architecture Studio,null,null,null,null,,,,null,null,null,,null,null,null
Interlandi Mantesso Architects,null,null,null,null,,,,null,null,null,,null,null,null
ERA Planning & Environment,null,null,null,null,,,,null,null,null,,null,null,null
DesignInc Adelaide,null,null,null,null,,,,null,null,null,,null,null,null
GREENBOX Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Landscape Australia,null,null,null,null,,,,null,null,null,,null,null,null
Peddle Thorp Melbourne Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
TPG+Place Match,null,null,null,null,,,,"Level 18, PERTH, WA, 6000, AU",-31.939821,115.8162,,"Level 18, PERTH, WA, 6000, AU",-31.939821,115.8162
Cumulus Studio,null,null,null,null,,,,null,null,null,,null,null,null
Phillips Smith Conwell,null,null,null,null,,,,null,null,null,,null,null,null
Silver Thomas Hanley,null,null,null,null,,,,null,null,null,,null,null,null
Daryl Jackson Alastair Swayn - Architecture and Interior Design,null,null,null,null,,,,null,null,null,,null,null,null
JPE Design Studio,null,null,null,null,,,,null,null,null,,null,null,null
PHAB Architects,null,null,null,null,,,,"371 Queen St, Brisbane City, Queensland, 4000, AU",-27.47126,153.01831,,"371 Queen St, Brisbane City, Queensland, 4000, AU",-27.47126,153.01831
Taylor Knights PTY LTD,null,null,null,null,,,,null,null,null,,null,null,null
a2 Design,null,null,null,null,,,,"22 Carrigton Street, Perth, WA, 6157, AU",-31.939821,115.8162,,"22 Carrigton Street, Perth, WA, 6157, AU",-31.939821,115.8162
Paul Uhlmann Architects,null,null,null,null,,,,"1/421 Golden Four Drive, Tugun, Gold Coast, Queensland, 4224, AU",-27.994457,153.40938,,"1/421 Golden Four Drive, Tugun, Gold Coast, Queensland, 4224, AU",-27.994457,153.40938
Cavill Architects,null,null,null,null,,,,null,null,null,,null,null,null
Caulfield Krivanek Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Sii LIGHT,null,null,null,null,,,,null,null,null,,null,null,null
Design Unity,null,null,null,null,,,,null,null,null,,null,null,null
Lippmann Partnership,null,null,null,null,,,,null,null,null,,null,null,null
Tectura Architects,null,null,null,null,,,,"55 Exhibition St, Melbourne, Victoria, 3000, AU",-37.803425,145.01105,,"55 Exhibition St, Melbourne, Victoria, 3000, AU",-37.803425,145.01105
ArchMap,null,null,null,null,,,,null,null,null,,null,null,null
Paragon Films Australia,null,null,null,null,,,,null,null,null,,null,null,null
Dynamic Planning and Developments,null,null,null,null,,,,null,null,null,,null,null,null
Lafferty McLean Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Trapp Architects,null,null,null,null,,,,null,null,null,,null,null,null
Maddison Architects,null,null,null,null,,,,"1/98 Bank Street, South Melbourne, Victoria, 3205, AU",-37.803425,145.01105,,"1/98 Bank Street, South Melbourne, Victoria, 3205, AU",-37.803425,145.01105
Pleysier Perkins,null,null,null,null,,,,"2/40 Green St, Prahran, Victoria, 3181, AU",-37.803425,145.01105,,"2/40 Green St, Prahran, Victoria, 3181, AU",-37.803425,145.01105
LiteraTrotta Architecture,null,null,null,null,,,,null,null,null,,null,null,null
GLN Planning,null,null,null,null,,,,null,null,null,,null,null,null
Ruth Newman Architect Pty Ltd,null,null,null,null,,,,"5-7 Gymea Bay Rd, Gymea, New South Wales, 2227, AU",-33.84907,151.13834,,"5-7 Gymea Bay Rd, Gymea, New South Wales, 2227, AU",-33.84907,151.13834
Weston Williamson + Partners,null,null,null,null,,,,null,null,null,,null,null,null
NH Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Breathe Architecture,null,null,null,null,,,,null,null,null,,null,null,null
AJ+C,null,null,null,null,,,,null,null,null,,null,null,null
NBRSARCHITECTURE,null,null,null,null,,,,null,null,null,,null,null,null
FMSA Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Jackson Teece,null,null,null,null,,,,null,null,null,,null,null,null
TAHPI - A to Z of Health Planning,null,null,null,null,,,,null,null,null,,null,null,null
City Plan,null,null,null,null,,,,null,null,null,,null,null,null
Leonard Design Architects,null,null,null,null,,,,null,null,null,,null,null,null
Noxon Giffen Architects,null,null,null,null,,,,"Level 4, Melbourne, VIC, 3000, AU",-37.803425,145.01105,,"Level 4, Melbourne, VIC, 3000, AU",-37.803425,145.01105
dwp | hardy milazzo,null,null,null,null,,,,null,null,null,,null,null,null
T&Z Architects,null,null,null,null,,,,null,null,null,,null,null,null
8i Architects,null,null,null,null,,,,null,null,null,,null,null,null
illumination Physics,null,null,null,null,,,,null,null,null,,null,null,null
ETS Architects Pty Ltd,null,null,null,null,,,,"Suite 9, Plumridge House, Fortitude Valley, BRISBANE, QLD, 4006, AU",-27.47126,153.01831,,"Suite 9, Plumridge House, Fortitude Valley, BRISBANE, QLD, 4006, AU",-27.47126,153.01831
Imagescape Design Studios,null,null,null,null,,,,null,null,null,,null,null,null
Weston Architects,null,null,null,null,,,,null,null,null,,null,null,null
CityLab Architectural Competitions & Procurement,null,null,null,null,,,,null,null,null,,null,null,null
ADAMS + SPARKES Town Planning,null,null,null,null,,,,null,null,null,,null,null,null
de.arch p/l,null,null,null,null,,,,null,null,null,,null,null,null
arcstudios architecture,null,null,null,null,,,,null,null,null,,null,null,null
PKA Acoustic Consulting,null,null,null,null,,,,null,null,null,,null,null,null
MSK Architects Dural,null,null,null,null,,,,null,null,null,,null,null,null
Corben Architects,null,null,null,null,,,,"40 Yeo St, Neutral Bay, null, 2089, AU",-33.84907,151.13834,,"40 Yeo St, Neutral Bay, null, 2089, AU",-33.84907,151.13834
The GDK Group,null,null,null,null,,,,"268-270 Victoria Street, Wetherill Park, NSW, 2164, AU",-33.84907,151.13834,,"268-270 Victoria Street, Wetherill Park, NSW, 2164, AU",-33.84907,151.13834
Mills Gorman Architects,null,null,null,null,,,,null,null,null,,null,null,null
MUSK Architecture Studio,null,null,null,null,,,,"53/84 Trenerry Crescent, Abbotsford, Vic, 3067, AU",-37.803425,145.01105,,"53/84 Trenerry Crescent, Abbotsford, Vic, 3067, AU",-37.803425,145.01105
Zwart Transport Planning,null,null,null,null,,,,null,null,null,,null,null,null
Archier,null,null,null,null,,,,"300 Park St, Carlton North, Victoria, null, AU",-37.803425,145.01105,,"300 Park St, Carlton North, Victoria, null, AU",-37.803425,145.01105
Green Cities Conference,null,null,null,null,,,,"Level 1, Sydney, NSW, 2000, AU",-33.84907,151.13834,,"Level 1, Sydney, NSW, 2000, AU",-33.84907,151.13834
ADDO Training,null,null,null,null,,,,null,null,null,,null,null,null
NOMA*,null,null,null,null,,,,null,null,null,,null,null,null
Cameron Chisholm Nicol Architects Queensland,null,null,null,null,,,,"6/18 Kilroe Street, Brisbane, QLD, 4064, AU",-27.47126,153.01831,,"6/18 Kilroe Street, Brisbane, QLD, 4064, AU",-27.47126,153.01831
BOLD Architecture + Interior Design,null,null,null,null,,,,"69 Sydney Street, Mackay, QLD, 4740, AU",-21.142536,149.18948,,"69 Sydney Street, Mackay, QLD, 4740, AU",-21.142536,149.18948
Studio Snell,null,null,null,null,,,,null,null,null,,null,null,null
SITE planning + design,null,null,null,null,,,,null,null,null,,null,null,null
JOHNSON PILTON WALKER PTY LTD,null,null,null,null,,,,"87-95 Pitt St, Sydney, New South Wales, 2000, AU",-33.84907,151.13834,,"87-95 Pitt St, Sydney, New South Wales, 2000, AU",-33.84907,151.13834
CREATE Specialist Designers,null,null,null,null,,,,null,null,null,,null,null,null
Construct NSW,null,null,null,null,,,,null,null,null,,null,null,null
Inhouse Design and Drafting,null,null,null,null,,,,"340 Scottsdale Dr, Robina, Queensland, 4226, AU",-27.994457,153.40938,,"340 Scottsdale Dr, Robina, Queensland, 4226, AU",-27.994457,153.40938
Paterson Group Architects,null,null,null,null,,,,"Level 1, 9 Havelock Street, West Perth, WA, 6005, AU",-31.939821,115.8162,,"Level 1, 9 Havelock Street, West Perth, WA, 6005, AU",-31.939821,115.8162
Brenchley Architects,null,null,null,null,,,,"Level 1, Surry Hills, NSW, 2010, AU",-33.84907,151.13834,,"Level 1, Surry Hills, NSW, 2010, AU",-33.84907,151.13834
Durable Design,null,null,null,null,,,,null,null,null,,null,null,null
SEED Landscape Design,null,null,null,null,,,,"PO Box 527, Paddington, QLD, 4064, AU",-27.47126,153.01831,,"PO Box 527, Paddington, QLD, 4064, AU",-27.47126,153.01831
Australian Institute of Architects Queensland,null,null,null,null,,,,null,null,null,,null,null,null
Nagy Design,null,null,null,null,,,,null,null,null,,null,null,null
ARTISAN ARCHITECTS PTY LTD,null,null,null,null,,,,"9 Inkerman Street, St Kilda, null, null, AU",-25.574999,134.3547,,"9 Inkerman Street, St Kilda, null, null, AU",-25.574999,134.3547
State of Kin,null,null,null,null,,,,null,null,null,,null,null,null
Pillar+Post,null,null,null,null,,,,"Studio 12, West Melbourne, Victoria, 3003, AU",-37.803425,145.01105,,"Studio 12, West Melbourne, Victoria, 3003, AU",-37.803425,145.01105
Cunsolo Architects,null,null,null,null,,,,null,null,null,,null,null,null
RG Strategic,null,null,null,null,,,,null,null,null,,null,null,null
Concept Black,null,null,null,null,,,,null,null,null,,null,null,null
Habitat Planning,null,null,null,null,,,,null,null,null,,null,null,null
Mosmo Living,null,null,null,null,,,,"199 King William Rd, Hyde Park, South Australia, 5061, AU",-34.897945,138.59166,,"199 King William Rd, Hyde Park, South Australia, 5061, AU",-34.897945,138.59166
McGann Architects Pty Ltd,null,null,null,null,,,,"282 Park Street, South Melbourne, Victoria, 3205, AU",-37.803425,145.01105,,"282 Park Street, South Melbourne, Victoria, 3205, AU",-37.803425,145.01105
CO-architecture,null,null,null,null,,,,null,null,null,,null,null,null
Hamec Design Studio,null,null,null,null,,,,"90 Bourke Rd, Alexandria, New South Wales, 2015, AU",-33.84907,151.13834,,"90 Bourke Rd, Alexandria, New South Wales, 2015, AU",-33.84907,151.13834
Arina,null,null,null,null,,,,null,null,null,,null,null,null
Project Modular,null,null,null,null,,,,"Ashmore, Gold Coast, Qld, 4214, AU",-27.994457,153.40938,,"Ashmore, Gold Coast, Qld, 4214, AU",-27.994457,153.40938
Zircon Interiors - Commercial Office Fitouts,null,null,null,null,,,,null,null,null,,null,null,null
PACE ARCHITECTS,null,null,null,null,,,,null,null,null,,null,null,null
