Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Careers At Bulbeck,null,null,null,null,,,,"null, Newcastle, null, null, AU",-32.92528,151.7527,,"null, Newcastle, null, null, AU",-32.92528,151.7527
Trashaway,null,null,null,null,,,,null,null,null,,null,null,null
Darrell Eades Transport,null,null,null,null,,,,null,null,null,,null,null,null
The Cargo Warehouse,null,null,null,null,,,,null,null,null,,null,null,null
Tasmanian Wine Centre,null,null,null,null,,,,null,null,null,,null,null,null
Saray Rugs,null,null,null,null,,,,null,null,null,,null,null,null
Caravan Storage Sunshine Coast,null,null,null,null,,,,null,null,null,,null,null,null
Motorcycle Tyre Warehouse,null,null,null,null,,,,null,null,null,,null,null,null
House of Orange & HK Living Warehouse,null,null,null,null,,,,null,null,null,,null,null,null
Sub-Zero Refrigerated Truck Rentals,null,null,null,null,,,,null,null,null,,null,null,null
The Charcoal Man - Wholesale Charcoal Supplier,null,null,null,null,,,,null,null,null,,null,null,null
The Berry Man (Aus) Pty LTD,null,null,null,null,,,,null,null,null,,null,null,null
Van Demons Vans,null,null,null,null,,,,null,null,null,,null,null,null
Raikot Logistics Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Mr Caravan Storage,null,null,null,null,,,,null,null,null,,null,null,null
Storage King - Penrith,null,null,null,null,,,,null,null,null,,null,null,null
Port Melbourne Storage,null,null,null,null,,,,null,null,null,,null,null,null
Beverages Plus,null,null,null,null,,,,null,null,null,,null,null,null
Petrie Storage,null,null,null,null,,,,null,null,null,,null,null,null
Mini Storage Albury,null,null,null,null,,,,null,null,null,,null,null,null
Mundingburra Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Ballina Storage Sheds,null,null,null,null,,,,null,null,null,,null,null,null
Huskisson Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bundaberg North Side Storage,null,null,null,null,,,,null,null,null,,null,null,null
Living Benalla,null,null,null,null,,,,null,null,null,,null,null,null
Mega Storage Galore,null,null,null,null,,,,null,null,null,,null,null,null
MTC Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
REDCLIFFE FURNITURE RELOCATIONS AND STORAGE,null,null,null,null,,,,null,null,null,,null,null,null
Cape Storage Exmouth,null,null,null,null,,,,null,null,null,,null,null,null
Activ Storage Equipment,null,null,null,null,,,,null,null,null,,null,null,null
Organised Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Byron Bay Container Storage,null,null,null,null,,,,null,null,null,,null,null,null
Cool Frog Transport,null,null,null,null,,,,null,null,null,,null,null,null
Medowie Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bells Removals & Storage,null,null,null,null,,,,null,null,null,,null,null,null
Hungsway,null,null,null,null,,,,null,null,null,,null,null,null
Allied Seafreight,null,null,null,null,,,,null,null,null,,null,null,null
Integrated Outsourced Services,null,null,null,null,,,,null,null,null,,null,null,null
Margaret River Wine Storage,null,null,null,null,,,,null,null,null,,null,null,null
Universal Pipelines,null,null,null,null,,,,null,null,null,,null,null,null
Melton Craft,null,null,null,null,,,,null,null,null,,null,null,null
Millers Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Piper Rd Storage,null,null,null,null,,,,"23 Piper Rd, Bendigo, VIC, 3550, AU",-36.759342,144.284,,"23 Piper Rd, Bendigo, VIC, 3550, AU",-36.759342,144.284
Cultured Stone,null,null,null,null,,,,null,null,null,,null,null,null
Groupe Sportif Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Lilydale Freighters PTY Ltd.,null,null,null,null,,,,null,null,null,,null,null,null
Spacey Storage Bathurst,null,null,null,null,,,,null,null,null,,null,null,null
Smart Box Archive Systems,null,null,null,null,,,,null,null,null,,null,null,null
HANK Event Logistics,null,null,null,null,,,,null,null,null,,null,null,null
Oceanamics Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Gateway Container Park,null,null,null,null,,,,null,null,null,,null,null,null
Southys Removals Central Coast,null,null,null,null,,,,null,null,null,,null,null,null
Ambiance Indoor Outdoor Living (Warehouse),null,null,null,null,,,,null,null,null,,null,null,null
Curriculum Kids Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
PDWGROUP,null,null,null,null,,,,null,null,null,,null,null,null
Bowen Road Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
East Gippsland Tilt Tray Service,null,null,null,null,,,,null,null,null,,null,null,null
Victor Caravan & Boat Storage,null,null,null,null,,,,null,null,null,,null,null,null
alpine-warehousing,null,null,null,null,,,,null,null,null,,null,null,null
Peninsula Undercover Boat Storage Melbourne,null,null,null,null,,,,null,null,null,,null,null,null
Parkvue Storage,null,null,null,null,,,,null,null,null,,null,null,null
Warragul City Self,null,null,null,null,,,,null,null,null,,null,null,null
Drayton Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Storage Direct Sunshine Coast,null,null,null,null,,,,null,null,null,,null,null,null
Wagga Secure Storage,null,null,null,null,,,,null,null,null,,null,null,null
WERRIBEE SELF STORAGE,null,null,null,null,,,,null,null,null,,null,null,null
One Scent Pty Ltd,null,null,null,null,,,,"PO Box 6546, Silverwater, NSW, 2128, AU",-33.84907,151.13834,,"PO Box 6546, Silverwater, NSW, 2128, AU",-33.84907,151.13834
Ultimate Impex,null,null,null,null,,,,"7-9 underwood road Homebush, Sydney, NSW, 2145, AU",-33.84907,151.13834,,"7-9 underwood road Homebush, Sydney, NSW, 2145, AU",-33.84907,151.13834
Bionic Self Storage: SUNSHINE COAST'S CHEAPEST & BEST STORAGE!,null,null,null,null,,,,"54 Cresswell Rd, Caloundra, Queensland, 4551, AU",-26.792177,153.09967,,"54 Cresswell Rd, Caloundra, Queensland, 4551, AU",-26.792177,153.09967
Dexion Hendra,null,null,null,null,,,,null,null,null,,null,null,null
Greeneagle Distribution,null,null,null,null,,,,null,null,null,,null,null,null
Rosebud Mini Warehousing,null,null,null,null,,,,null,null,null,,null,null,null
KRB Logistics Resources,null,null,null,null,,,,null,null,null,,null,null,null
Markwell Cold Storage,null,null,null,null,,,,null,null,null,,null,null,null
Storage King Woolloomooloo,null,null,null,null,,,,null,null,null,,null,null,null
