Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
EMoS Smart Electric Vehicles,null,null,,null,null,,null,null
PriceMyCar - Car Buying Made Easy,51.884836,-0.519056,,null,null,,51.884836,-0.519056
Leopard Recruitment,52.565321,-1.822882,,null,null,,52.565321,-1.822882
Highgate Air,38.216416,-85.641208,,null,null,,38.216416,-85.641208
Autotrader Australia,53.473008,-2.246683,,null,null,,53.473008,-2.246683
Turbosmart,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Lumen Australia Pty Ltd,-34.313338,115.158891,,null,null,,-34.313338,115.158891
Premier Automotive,33.090895,-97.075377,,null,null,,33.090895,-97.075377
999 Automotive,11.252715,75.826599,,null,null,,11.252715,75.826599
Federal Chamber of Automotive Industries,-15.77526,-47.797292,,null,null,,-15.77526,-47.797292
Dealer Solutions,37.542645,-77.445191,,null,null,,37.542645,-77.445191
Douglas Automotive,54.15,-4.48333,,null,null,,54.15,-4.48333
North Coast Mobile Automotive,30.752153,-88.087672,,null,null,,30.752153,-88.087672
N.G. Motek Automotive,14.619896,121.00984,,-33.84907,151.13834,,-33.84907,151.13834
Alto Group,-4.171362,-44.962807,,null,null,,-4.171362,-44.962807
The Lane Group - WA Automotive & Peel Motors,40.584733,-105.049757,,null,null,,40.584733,-105.049757
Bosch Service - Louca Automotive,10.464414,-66.574232,,-34.897945,138.59166,,-34.897945,138.59166
Davies Automotive,37.677042,-87.091691,,-37.803425,145.01105,,-37.803425,145.01105
Torque Automotive Services,36.177378,43.940556,,-33.84907,151.13834,,-33.84907,151.13834
Will Ferris Automotive Repairs,41.339923,-87.727602,,null,null,,41.339923,-87.727602
GT Automotive Service,36.177378,43.940556,,-33.84907,151.13834,,-33.84907,151.13834
Hamilton Automotive Group,null,null,,-34.897945,138.59166,,-34.897945,138.59166
4tune Automotive,38.732685,-9.152305,,-27.994457,153.40938,,-27.994457,153.40938
Deleon Automotive,null,null,,null,null,,null,null
PROCHOICE AUTOMOTIVE,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Birdy Automotive,50.837326,4.35777,,-37.803425,145.01105,,-37.803425,145.01105
Cardiff Automotive,51.501018,-3.192626,,null,null,,51.501018,-3.192626
Seamus Hill Automotive,47.963877,16.782773,,null,null,,47.963877,16.782773
Jim Beylin Automotive Engineering,null,null,,null,null,,null,null
Wing Tai Automotive Service,null,null,,null,null,,null,null
D&M Automotive Service Centre,38.556548,-91.013642,,null,null,,38.556548,-91.013642
JD Custom Automotive,-22.917968,-43.376253,,null,null,,-22.917968,-43.376253
Karl Knudsen Automotive,null,null,,null,null,,null,null
Top One Automotive,52.226636,21.142435,,null,null,,52.226636,21.142435
Motor Trade Association of SA/NT,50.751442,12.618158,,null,null,,50.751442,12.618158
Brian Foley Automotive,45.59134,12.81327,,null,null,,45.59134,12.81327
Doe Prestige Automotive,46.602936,-112.021759,,null,null,,46.602936,-112.021759
Supashock,null,null,,null,null,,null,null
PM Group,40.511471,17.152342,,null,null,,40.511471,17.152342
Walkinshaw Group,54.611124,-3.519659,,null,null,,54.611124,-3.519659
Heartland Motors,-33.8207,151.003623,,null,null,,-33.8207,151.003623
AutoCRC,42.047521,-8.595524,,-37.803425,145.01105,,-37.803425,145.01105
John Hughes Group,-35.331048,149.088376,,null,null,,-35.331048,149.088376
NGP Group Melbourne,null,null,,-38.261295,145.18959,,-38.261295,145.18959
ANCAP SAFETY,-34.865444,-56.166627,,null,null,,-34.865444,-56.166627
CMV Group,-34.93183,138.589353,,null,null,,-34.93183,138.589353
Suttons,18.07396,-77.23764,,null,null,,18.07396,-77.23764
McKinley Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Payneham Automotive,-34.898384,138.642367,,null,null,,-34.898384,138.642367
HTR Automotive,24.059904,123.805143,,null,null,,24.059904,123.805143
Al's Automotive Services Pty Ltd,36.177378,43.940556,,null,null,,36.177378,43.940556
Autocare Automotive,43.042406,-76.100278,,null,null,,43.042406,-76.100278
