Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Kewdale Central,-31.980186,115.943829,,null,null,,-31.980186,115.943829
Norweld,41.373417,-83.650191,,-33.84907,151.13834,,-33.84907,151.13834
Lease.com.au,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Friday On The Beach,-28.64272,153.61667,,null,null,,-28.64272,153.61667
MAAD OPERATORS LIMITED,null,null,,null,null,,null,null
Homeloantalk Pty,9.062891,-79.390266,,null,null,,9.062891,-79.390266
Giles Partners,35.19729,-87.032078,,null,null,,35.19729,-87.032078
AUSEN INTERNATIONAL PTY LTD,-33.889675,151.149272,,null,null,,-33.889675,151.149272
Brisbane Bayside Real Estate,-27.507998,152.938476,,null,null,,-27.507998,152.938476
Broadmeadow Developments,42.233402,-71.764869,,null,null,,42.233402,-71.764869
North West Trust,-26.701793,25.477234,,-27.47126,153.01831,,-27.47126,153.01831
Kalon Group,-16.514265,35.155786,,-37.803425,145.01105,,-37.803425,145.01105
AMBASSADOR REALTY LIMITED,18.422319,-64.617458,,null,null,,18.422319,-64.617458
Halitha,37.69371,40.10569,,-31.939821,115.8162,,-31.939821,115.8162
Hilltop property services,-45.867591,170.514347,,null,null,,-45.867591,170.514347
McPhie & Co,45.679686,-111.030955,,-27.47126,153.01831,,-27.47126,153.01831
Parkedin Pty Ltd,-38.094211,144.368721,,null,null,,-38.094211,144.368721
United Co. Private Offices,40.175728,44.511825,,null,null,,40.175728,44.511825
BmPros,null,null,,-25.574999,134.3547,,-25.574999,134.3547
No. 1 Brisbane,-27.469309,153.026164,,-27.47126,153.01831,,-27.47126,153.01831
Cushman & Wakefield,51.898295,-8.465515,,null,null,,51.898295,-8.465515
Colliers,47.46659,-53.21478,,null,null,,47.46659,-53.21478
Trimont Real Estate Advisors,37.380639,-122.074397,,null,null,,37.380639,-122.074397
Investa Property Group,null,null,,null,null,,null,null
Dexus,-37.818454,144.758942,,null,null,,-37.818454,144.758942
Vicinity Centres,49.608897,7.166809,,null,null,,49.608897,7.166809
The GPT Group,51.378709,-2.36844,,null,null,,51.378709,-2.36844
Schiavello,-37.822938,144.961266,,null,null,,-37.822938,144.961266
Secure Parking,-41.436151,147.142142,,null,null,,-41.436151,147.142142
Waterman Business Centres,41.767341,-88.768723,,null,null,,41.767341,-88.768723
The Mills Precinct,54.903337,-1.397684,,null,null,,54.903337,-1.397684
Transact Investments,40.332097,-75.131773,,null,null,,40.332097,-75.131773
Croydon Coworking Space,32.51596,-117.000392,,-37.803425,145.01105,,-37.803425,145.01105
Ko Kollective,18.176627,99.350258,,null,null,,18.176627,99.350258
The Consortium,39.948299,-75.198031,,null,null,,39.948299,-75.198031
Colab Spaces,14.572379,121.057831,,null,null,,14.572379,121.057831
retaiLOGIC,null,null,,null,null,,null,null
My Floor - Polished Concrete Brisbane,52.290436,-1.533302,,-27.994457,153.40938,,-27.994457,153.40938
313 Plaza,48.412297,-123.347129,,-33.84907,151.13834,,-33.84907,151.13834
Allport,40.965996,-78.206564,,-27.47126,153.01831,,-27.47126,153.01831
Joanne Matthews,-35.141007,-69.039818,,-25.574999,134.3547,,-25.574999,134.3547
CGA Developments,55.478962,-133.147411,,-27.47126,153.01831,,-27.47126,153.01831
Property + Facilities Investment Asset Management,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Faith Cleaners,35.587976,-80.461384,,null,null,,35.587976,-80.461384
Oops Cleaning Services,40.709821,-74.00912,,-27.47126,153.01831,,-27.47126,153.01831
Comercial or Coworking?,43.80592,-123.05658,,null,null,,43.80592,-123.05658
"JAC investment Pty, Ltd",null,null,,-37.803425,145.01105,,-37.803425,145.01105
Next Business Sales,48.138936,16.491561,,-27.994457,153.40938,,-27.994457,153.40938
Plumpton Views,53.681251,-1.511633,,-37.73536,144.67072,,-37.73536,144.67072
Sportnett,null,null,,-37.803425,145.01105,,-37.803425,145.01105
The Star of Newcstle,null,null,,null,null,,null,null
Transworld Business Brokers Gold Coast,null,null,,-27.994457,153.40938,,-27.994457,153.40938
Old Station,40.672463,-121.422806,,-27.994457,153.40938,,-27.994457,153.40938
WTC Wharf,-6.266392,106.65525,,null,null,,-6.266392,106.65525
Oak Ventures Group,42.505444,-83.146054,,-37.803425,145.01105,,-37.803425,145.01105
Port City Commercial,43.07145,-70.773461,,-31.430704,152.90633,,-31.430704,152.90633
Cunningham Sheds Self Storage,40.10161,-88.196909,,null,null,,40.10161,-88.196909
Dennis Sea Accommodation,41.70614,-70.16474,,-25.574999,134.3547,,-25.574999,134.3547
Classic Cleaning 4 You,37.47212,-77.604096,,-37.803425,145.01105,,-37.803425,145.01105
miiSpace,null,null,,-26.792177,153.09967,,-26.792177,153.09967
Airdesk.com.au,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Burgess Rawson Sydney,41.701785,-70.460602,,-33.84907,151.13834,,-33.84907,151.13834
Foremost Properties Pty Ltd,49.476187,-111.44745,,-27.994457,153.40938,,-27.994457,153.40938
Testmas123,null,null,,-25.574999,134.3547,,-25.574999,134.3547
Lonsdale Trade Storage,35.991769,-83.958257,,-34.897945,138.59166,,-34.897945,138.59166
Benchmark Commercial & Business Sales,4.155117,9.284178,,null,null,,4.155117,9.284178
Go Work Bondi,10.840754,106.660342,,null,null,,10.840754,106.660342
Property Reviewed,null,null,,null,null,,null,null
Geraldton Bulk Storage Warehouses,-28.778088,114.61619,,null,null,,-28.778088,114.61619
Brian Challen,null,null,,null,null,,null,null
The Student Housing Company Australia,null,null,,null,null,,null,null
Comscope Corporate,50.88756,4.761872,,-31.939821,115.8162,,-31.939821,115.8162
Rook Partners,39.350006,-99.325036,,null,null,,39.350006,-99.325036
AESC - Australian Essential Services Compliance,null,null,,null,null,,null,null
Ray White Commercial (WA),39.362892,-93.989878,,null,null,,39.362892,-93.989878
Belle Commercial Australia,26.683909,-80.672959,,null,null,,26.683909,-80.672959
Altegra Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
Cameron,4.585076,12.473672,,null,null,,4.585076,12.473672
Rialto Melbourne,-37.818686,144.957565,,null,null,,-37.818686,144.957565
Transact Capital,40.332097,-75.131773,,null,null,,40.332097,-75.131773
Hourglass Business Sales,36.835947,-76.131106,,null,null,,36.835947,-76.131106
Hodge Real Estate,37.380639,-122.074397,,null,null,,37.380639,-122.074397
WMS Business Broking,null,null,,-27.994457,153.40938,,-27.994457,153.40938
Bonney Place Shopping Centre,-27.415085,153.048654,,null,null,,-27.415085,153.048654
NineWays Business Centre,33.680075,-117.855179,,-32.92528,151.7527,,-32.92528,151.7527
Collins Parker,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Commercial Property Matters,51.236657,-0.203675,,-33.84907,151.13834,,-33.84907,151.13834
PDV Group Pty Ltd,-37.831937,144.992414,,-37.803425,145.01105,,-37.803425,145.01105
Risk Management Group Pty Ltd,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Transact Group,43.716734,7.253101,,-33.84907,151.13834,,-33.84907,151.13834
LINK  - we sell businesses,40.802759,-96.663162,,null,null,,40.802759,-96.663162
Caden Office Leasing,39.684493,-104.874643,,null,null,,39.684493,-104.874643
Memocorp Australia,null,null,,-25.574999,134.3547,,-25.574999,134.3547
Vend Property,null,null,,null,null,,null,null
Macquarie Point Development Corporation,-42.886038,147.326428,,null,null,,-42.886038,147.326428
Belle Property Retail,26.683909,-80.672959,,null,null,,26.683909,-80.672959
Sandhurst Retail,51.34675,-0.78655,,null,null,,51.34675,-0.78655
CONVENiO,4.94762,-74.97913,,null,null,,4.94762,-74.97913
Raine & Horne Commercial - Brisbane Southside & Bayside,-27.388413,153.030984,,null,null,,-27.388413,153.030984
Whitmore Property,39.937885,-88.860391,,null,null,,39.937885,-88.860391
Forward Business Sales and Acquisitions,36.21826,-81.655861,,null,null,,36.21826,-81.655861
Inbox Workspace,55.696026,37.619568,,null,null,,55.696026,37.619568
Shire Professional Connection,-14.42232,35.2366,,null,null,,-14.42232,35.2366
Zupp Property Group,45.537027,-122.779779,,-27.994457,153.40938,,-27.994457,153.40938
Queensland Business Sales,-23.033708,144.417144,,null,null,,-23.033708,144.417144
PRDnationwide Townsville,null,null,,-19.257622,146.81787,,-19.257622,146.81787
BPG Australia,-23.992438,134.050443,,-31.939821,115.8162,,-31.939821,115.8162
DC Commercial,4.31465,-74.18077,,null,null,,4.31465,-74.18077
Ray White Commercial GC South,39.362892,-93.989878,,-27.994457,153.40938,,-27.994457,153.40938
Property Partnership Australia,51.468039,-2.604386,,-33.84907,151.13834,,-33.84907,151.13834
BDAS,29.58427,-9.13028,,null,null,,29.58427,-9.13028
SFR Capital Pty Ltd,48.890557,2.239496,,null,null,,48.890557,2.239496
L J Hooker Commercial Penrith,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Milton Business Centre,-27.474866,153.002908,,null,null,,-27.474866,153.002908
Makegoods Pty Ltd,-38.094211,144.368721,,null,null,,-38.094211,144.368721
STRE Commercial,37.546861,-77.443137,,null,null,,37.546861,-77.443137
Sungold Construction,null,null,,null,null,,null,null
SURAT BASIN PROPERTIES PTY LTD,21.088349,72.867287,,null,null,,21.088349,72.867287
Griffin Property Commercial & Industrial,39.257612,-76.685309,,-33.84907,151.13834,,-33.84907,151.13834
Riverstone Business Park,48.138316,16.491634,,null,null,,48.138316,16.491634
SKILLINGS Education,47.690759,-122.116057,,null,null,,47.690759,-122.116057
Roe Highway Logistics Park,null,null,,null,null,,null,null
CorporateRealEstate.com,null,null,,-27.47126,153.01831,,-27.47126,153.01831
"ABBA Group - Sales, Mergers & Acquisitions.",null,null,,null,null,,null,null
SVN | Perth,32.02266,-81.115717,,null,null,,32.02266,-81.115717
One Retail,52.385684,-1.259261,,null,null,,52.385684,-1.259261
Barratt Jennings Partners,34.199417,-82.165908,,null,null,,34.199417,-82.165908
Noonan Property,48.238254,-98.616487,,null,null,,48.238254,-98.616487
SA1 Property,38.745807,-121.217001,,null,null,,38.745807,-121.217001
Keymax Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
