S/T name,SA2 name,Latitude,Longitude
New South Wales,Deniliquin,-35.53374,144.972399
New South Wales,Deniliquin Region,-35.53374,144.972399
New South Wales,Moama,-36.107768,144.762281
New South Wales,"Tocumwal, Finley, Jerilderie",-35.807909,145.577279
New South Wales,Armidale,-30.51268,151.663934
New South Wales,"Armidale Region, Armidale Region North",-30.51268,151.663934
New South Wales,"Armidale Region, Armidale Region South",-30.51268,151.663934
New South Wales,Walcha,-30.985999,151.588556
New South Wales,Glen Innes,-29.742395,151.742544
New South Wales,Inverell,-29.773192,151.114599
New South Wales,"Inverell Region, Inverell Region East",-29.773192,151.114599
New South Wales,"Inverell Region, Inverell Region West",-29.773192,151.114599
New South Wales,Tenterfield,-29.048896,152.016228
New South Wales,Moree,-29.465095,149.827527
New South Wales,Moree Region,-29.465095,149.827527
New South Wales,Narrabri,-30.33528,149.774409
New South Wales,Narrabri Region,-30.33528,149.774409
New South Wales,Gunnedah,-30.98473,150.246044
New South Wales,Gunnedah Region,-30.98473,150.246044
New South Wales,Quirindi,-31.509556,150.680204
New South Wales,"Tamworth, Tamworth East",-31.092751,150.931684
New South Wales,"Tamworth, Tamworth North",-31.092751,150.931684
New South Wales,"Tamworth, Tamworth West",-31.092751,150.931684
New South Wales,Tamworth Region,-31.092751,150.931684
New South Wales,"Belmont, Bennetts Green",null,null
New South Wales,"Belmont South, Blacksmiths",-33.054437,151.660059
New South Wales,"Charlestown, Dudley",-32.964237,151.697126
New South Wales,"Glendale, Cardiff, Hillsborough",-35.12971,149.58489
New South Wales,"Mount Hutton, Windale",-32.982933,151.671287
New South Wales,Redhead,-33.009892,151.713811
New South Wales,"Swansea, Caves Beach",-33.088146,151.63347
New South Wales,"Valentine, Eleebana",-33.015115,151.63991
New South Wales,"Warners Bay, Boolaroo",null,null
New South Wales,"Bolton Point, Teralba",-32.994143,151.6109
New South Wales,"Bonnells Bay, Silverwater",null,null
New South Wales,"Edgeworth, Cameron Park",-32.926088,151.61422
New South Wales,"Morisset, Cooranbong",null,null
New South Wales,"Toronto, Awaba",-33.017873,151.573849
New South Wales,"Wangi Wangi, Rathmines",-33.068902,151.574806
New South Wales,"West Wallsend, Barnsley, Killingworth",-32.90659,151.584208
New South Wales,"Adamstown, Kotara",-32.936736,151.729979
New South Wales,"Beresfield, Hexham",-32.80413,151.640037
New South Wales,"Hamilton, Broadmeadow",-32.922466,151.745056
New South Wales,"Lambton, New Lambton",-32.909446,151.705587
New South Wales,"Maryland, Fletcher, Minmi",-32.880784,151.661697
New South Wales,"Mayfield, Warabrook",-32.89724,151.737285
New South Wales,"Merewether, The Junction",-32.950075,151.755368
New South Wales,"Newcastle, Cooks Hill",-32.9278,151.782607
New South Wales,"Newcastle Port, Kooragang",-32.9278,151.782607
New South Wales,"Shortland, Jesmond",-32.876198,151.695685
New South Wales,"Stockton, Fullerton Cove",-32.902024,151.779011
New South Wales,"Wallsend, Elermore Vale",-32.898807,151.650233
New South Wales,"Waratah, North Lambton",-32.904382,151.722565
New South Wales,"Wickham, Carrington, Tighes Hill",-32.916821,151.759992
New South Wales,Ballina,-28.854769,153.532296
New South Wales,Ballina Region,-28.854769,153.532296
New South Wales,Bangalow,-28.681983,153.525801
New South Wales,"Brunswick Heads, Ocean Shores",-28.539651,153.548386
New South Wales,Byron Bay,null,null
New South Wales,Evans Head,-29.115296,153.431198
New South Wales,"Lennox Head, Skennars Head",-28.809942,153.591285
New South Wales,Mullumbimby,-28.554666,153.499243
New South Wales,Casino,-28.865134,153.044403
New South Wales,Casino Region,28.66047,77.07733
New South Wales,Goonellabah,-28.823354,153.319693
New South Wales,Kyogle,-28.631585,153.00687
New South Wales,Lismore,-28.810195,153.289347
New South Wales,Lismore Region,-28.810195,153.289347
New South Wales,"Kingscliff, Fingal Head",-28.265035,153.576892
New South Wales,Murwillumbah,-28.328196,153.389122
New South Wales,Murwillumbah Region,-28.328196,153.389122
New South Wales,Pottsville,-28.381771,153.562984
New South Wales,Tweed Heads,-28.181508,153.529624
New South Wales,Banora Point,-28.221393,153.535909
New South Wales,"Terranora, North Tumblegum",-28.238859,153.505377
New South Wales,Tweed Heads South,-28.200005,153.535535
New South Wales,Griffith ,-34.286686,146.04075
New South Wales,Griffith Region,-34.286686,146.04075
New South Wales,Leeton,-34.554226,146.402108
New South Wales,Narrandera,-34.694654,146.680349
New South Wales,Tumbarumba,-35.775253,148.00843
New South Wales,Tumut,-35.317621,148.239825
New South Wales,Tumut Region,null,null
New South Wales,Cootamundra,-34.638458,148.027763
New South Wales,Gundagai,-35.062944,148.108958
New South Wales,Junee,-34.865516,147.580012
New South Wales,Temora,-34.443978,147.531076
New South Wales,"Wagga Wagga, Wagga Wagga East",-35.108503,147.359497
New South Wales,"Wagga Wagga, Wagga Wagga North",-35.108503,147.359497
New South Wales,"Wagga Wagga, Wagga Wagga South",null,null
New South Wales,"Wagga Wagga, Wagga Wagga West",-35.108503,147.359497
New South Wales,Wagga Wagga Region,-35.108503,147.359497
New South Wales,"Berry, Kangaroo Valley",-34.778961,150.691274
New South Wales,"Callala Bay, Currarong",-34.995785,150.720514
New South Wales,Culburra Beach,-34.928517,150.748839
New South Wales,"Ettrema, Sassafras, Budawang",-32.494981,146.586903
New South Wales,"Huskisson, Vincentia",-35.042232,150.67136
New South Wales,"North Nowra, Bomaderry",-34.855826,150.583962
New South Wales,Nowra,-34.884583,150.60242
New South Wales,"St Georges Basin, Erowal Bay",-35.09403,150.600362
New South Wales,"Sussex Inlet, Berrara",null,null
New South Wales,"Tomerong, Wandandian, Woollamia",-35.052846,150.587607
New South Wales,Ulladulla,-35.35646,150.461595
New South Wales,Ulladulla Region,-35.35646,150.461595
New South Wales,Bowral,null,null
New South Wales,"Hill Top, Colo Vale",-34.353922,150.493174
New South Wales,Mittagong,-34.455134,150.448134
New South Wales,"Moss Vale, Berrima",null,null
New South Wales,"Robertson, Fitzroy Falls",null,null
New South Wales,Southern Highlands,-32.494981,146.586903
New South Wales,Baulkham Hills East,-33.756656,150.978973
New South Wales,"Baulkham Hills West,  Baulkham Hills West Bella Vista",null,null
New South Wales,Glenhaven,-33.699677,150.995862
New South Wales,West Pennant Hills,-33.749846,151.030986
New South Wales,"Castle Hill, Castle Hill Central",null,null
New South Wales,"Castle Hill, Castle Hill East",-33.729026,150.999831
New South Wales,"Castle Hill, Castle Hill North",-33.729026,150.999831
New South Wales,"Castle Hill, Castle Hill South",-33.729026,150.999831
New South Wales,"Castle Hill, Castle Hil West",-33.729026,150.999831
New South Wales,Cherrybrook,-33.723169,151.044636
New South Wales,Kellyville,null,null
New South Wales,"Dural, Kenthurst, Wisemans Ferry",-33.68333,151.01667
New South Wales,"Galston, Laughtondale",-33.648819,151.043469
New South Wales,"Bilpin, Colo, St Albans",-33.5,150.53333
New South Wales,"Kurrajong Heights, Ebenezer",-33.531103,150.62329
New South Wales,"Pitt Town, McGraths Hill",-33.584261,150.860389
New South Wales,"Rouse Hill,  Beaumont Hills",-33.680955,150.918588
New South Wales,"Blacktown East, Blacktown East Kings Park",-33.775679,150.901784
New South Wales,"Blacktown North, Blacktown North Marayong",-33.775679,150.901784
New South Wales,"Doonside, Woodcroft",-33.771715,150.87488
New South Wales,"Lalor Park, Kings Langley",-33.760729,150.929858
New South Wales,"Seven Hills, Toongabbie",-33.778576,150.934163
New South Wales,Blacktown South,-33.775679,150.901784
New South Wales,Blacktown West,-33.775679,150.901784
New South Wales,Glenwood,-33.45729,150.60163
New South Wales,"Parklea, Kellyville Ridge",-33.725609,150.91628
New South Wales,"Riverstone, Marsden Park",-33.674035,150.87267
New South Wales,Acacia Gardens,-33.733393,150.913897
New South Wales,Quakers Hill,null,null
New South Wales,"Bidwill, Hebersham, Emerton",-33.729584,150.821994
New South Wales,"Glendenning, Dean Park",-33.748391,150.854116
New South Wales,"Hassall Grove, Plumpton",-33.731516,150.838788
New South Wales,"Lethbridge Park, Tregear",-33.737048,150.800579
New South Wales,"Mount Druitt, Whalan",-33.770978,150.819827
New South Wales,Prospect Reservoir,-37.712408,145.004061
New South Wales,"Rooty Hill, Minchinbury",-33.774965,150.839788
New South Wales,Banksmeadow,-33.953838,151.215973
New South Wales,Botany,-33.946451,151.200454
New South Wales,"Mascot, Eastlakes",null,null
New South Wales,"Pagewood, Hillsdale, Daceyville",-33.940086,151.219485
New South Wales,Port Botany Industrial,null,null
New South Wales,Sydney Airport,-33.934477,151.157157
New South Wales,Marrickville,-33.910964,151.155258
New South Wales,"Petersham, Stanmore",-33.896077,151.154415
New South Wales,"Sydenham, Tempe, St Peters",-33.917308,151.168239
New South Wales,Darlinghurst,-33.878132,151.219439
New South Wales,"Erskineville, Alexandria",-33.90368,151.18567
New South Wales,"Glebe, Forest Lodge",-33.878226,151.185553
New South Wales,"Newtown, Camperdown, Darlington",-33.899678,151.177905
New South Wales,"Potts Point, Woolloomooloo",-33.86586,151.226254
New South Wales,"Pyrmont, Ultimo",-33.868846,151.192886
New South Wales,"Redfern, Chippendale",null,null
New South Wales,Surry Hills,-33.885877,151.212781
New South Wales,"Sydney, Haymarket, The Rocks",null,null
New South Wales,"Waterloo, Beaconsfield",-36.47363,149.77385
New South Wales,"Bondi, Tamarama, Bronte",-33.893955,151.263686
New South Wales,"Bondi Beach, North Bondi",-33.889457,151.272274
New South Wales,"Bondi Junction, Waverly",-33.893278,151.251615
New South Wales,Centennial Park,null,null
New South Wales,"Double Bay, Bellevue Hill",-33.876562,151.242266
New South Wales,Dover Heights,-33.873345,151.28134
New South Wales,"Paddington, Moore Park",-33.883833,151.228424
New South Wales,"Rose Bay, Vaucluse, Watsons Bay",-33.873446,151.271414
New South Wales,Woollahra,-33.885453,151.241453
New South Wales,"Coogee, Clovelly",-33.918384,151.253698
New South Wales,"Malabar, La Perouse, Chifley",-33.958669,151.255486
New South Wales,Kensington ,-33.911221,151.219501
New South Wales,Kingsford,-33.929724,151.233966
New South Wales,"Maroubra, Maroubra North",-33.944809,151.245905
New South Wales,"Maroubra, Maroubra South",-33.944809,151.245905
New South Wales,"Maroubra, Maroubra West",-33.944809,151.245905
