Name,Address_0,Latitude_0,Longitude_0,place_id
Willow,"456 Ang Mo Kio Ave 10, Block 456, Singapore 560456",1.3674407,103.8582611,ChIJEUn07fwW2jERNJvw5cL89x0
Agile Analytics,"261 Waterloo St, #03-32, Singapore 180261",1.2989163,103.8519697,ChIJ_6d8AP8Z2jERBShs_drNwvI
Shinetech Software Inc.,"Poststraße 2-4, 60329 Frankfurt am Main, Germany",50.10835,8.662299,ChIJ86cCjlUJvUcRnd2JJOxbNfM
ITCS Group,"Hong Kong, Wan Chai, Lockhart Rd, 93號, Beverly House, 10 Floor",22.2782595,114.1721555,ChIJY0z5XVwABDQROiB5lhKD1bk
talentCRU Australia,"Level 18/135 King St, Sydney NSW 2000, Australia",-33.869167,151.2087416,ChIJGRTZ80WvEmsRcNXH99I6IV4
PureSoftware Ltd,"8 Shenton Way, AXA Tower, Singapore 068811",1.2761294,103.8474403,ChIJr2BXvp0Z2jERd7C8yFeTe-c
Lorhan IT,"Corporate Head Office: Lorhan IT Services Pvt. Ltd 8th Floor, Block-2, My Home Hub, Madhapur, Telangana 500081, India",17.4483695,78.3828592,ChIJDcAk_PaTyzsRWbUcap_SgPE
VoiceFoundry,null,null,null,null
"Olikka, Part of Accenture",null,null,null,null
TAIGER,"1 Grange Rd, #07-01 Orchard Building, Singapore 239693",1.3014488,103.8372499,ChIJya13uvIZ2jERFcjLUIuhZRQ
Secured Communications,"81 Toh Guan Rd E, Singapore 608606",1.3352122,103.7583479,ChIJl9VL83EQ2jERhRIwvGPU0UI
Optus Enterprise,"8-3-222/1/D, Yousufguda Road, Madhura Nagar, Hyderabad, Telangana 500873, India",17.4371941,78.4396061,ChIJ9XVpn9qQyzsRQ8sRL-zz5Yg
Telstra Health,"222 Lonsdale St, Melbourne VIC 3000, Australia",-37.8111596,144.965559,ChIJN-FlmEhd1moRzHKzlOeuocY
Presence of IT,"The Alexcier, #04-15/16, 237 Alexandra Rd, Singapore 159929",1.2911937,103.8137922,ChIJ4X8M-lsb2jERbSWXFlgYXc0
Teko,"35, Jalan Pulai Bistari 1, Bandar Baru Kangkar Pulai, 81110 Johor Bahru, Johor, Malaysia",1.5637509,103.591205,ChIJ54FnEoh22jER1jphg9e_Xi4
Melbourne IT,"Level 23/680 George St, Sydney NSW 2000, Australia",-33.8771026,151.2064219,ChIJh6Zn4j-uEmsR9nuz0EJpLIU
iasset.com,"Level 21/207 Kent St, Sydney NSW 2000, Australia",-33.8636867,151.2036276,ChIJJQpwgtmuEmsRqgX3r10-DDY
ITbility,"level 20/821 Pacific Hwy, Chatswood NSW 2067, Australia",-33.7948058,151.179395,ChIJpR1VoAijEmsRgJGlCI4klVM
