Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Steve Johnson Automotive,null,null,null,Automative,null,null,"North Geelong, Victoria",null,null,https://www.linkedin.com/company/steve-johnson-automotive/,null,-25.83694,29.55194,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kiwi French Automotive,null,null,null,Automative,null,http://kiwifrenchautomotive.com.au,"Slacks Creek, Queensland",null,null,https://www.linkedin.com/company/kiwi-french-automotive/,null,46.977895,7.472803,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Dee Why Automotive,null,null,null,Automative,null,http://deewhyautomotive.com.au,"Sebastopol, Victoria",null,null,https://www.linkedin.com/company/dee-why-automotive/,null,-33.752429,151.286621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Gary Tenni Automotive,null,null,null,Automative,null,http://gtautomotive.com.au,"Redlynch, Queensland",null,null,https://www.linkedin.com/company/gary-tenni-automotive/,null,41.589885,-87.346786,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Eddy Nash Automotive,null,null,null,Automative,null,http://eddynashautomotive.com.au,"Croydon, New South Wales",null,null,https://www.linkedin.com/company/eddy-nash-automotive/,null,32.482393,-104.304374,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Peter Ragonese Automotive,null,null,null,Automative,null,http://peterragoneseautomotive.com.au,"Carlton, New South Wales",null,null,https://www.linkedin.com/company/peter-ragonese-automotive/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21st Century Automotive Engineering,null,null,null,Automative,null,http://mechanic-rockingham.websyte.com.au,"Rockingham, Western Australia",null,null,https://www.linkedin.com/company/21st-century-automotive-engineering/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
L. C. Automotive,null,null,null,Automative,null,http://leonfcatlin.myob.net,null,null,null,https://www.linkedin.com/company/l-c-automotive/,null,51.474678,5.622127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Peter Murphy Automotive Repairs,null,null,null,Automative,null,http://petermurphyauto.com.au,null,null,null,https://www.linkedin.com/company/peter-murphy-automotive-repairs/,null,16.776738,-62.196701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kiama Central Automotive,null,null,null,Automative,null,http://kiamacentralautomotive.repcoservice.net,"2 Brown St , Kiama, New South Wales",null,null,https://www.linkedin.com/company/kiama-central-automotive/,null,-34.671698,150.849093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
